Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
63,Resistor,R,R102 R103,18k,,2,~
64,Resistor,R,R34 R41 R50 R56 R62,1M,,5,~
65,Resistor,R,R10 R24 R47 R91 R116,1k,,5,~
66,Resistor,R,R115,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,~
67,Resistor,R,R67 R111,2.2M,,2,~
68,Resistor,R,R88 R107,2.2k,,2,~
69,Resistor,R,R97,20K,,1,~
70,Resistor,R,R13 R16,220k,,2,~
71,Resistor,R,R69,22K,,1,~
72,Resistor,R,R14 R17 R32 R37,22r,,4,~
73,Resistor,R,R95,22r,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,~
74,Resistor,R,R36,270,,1,~
75,Resistor,R,R8 R87,27k,,2,~
76,Resistor,R,R11_plus_3500ppm_per_deg_C1 R68,2k,,2,~
77,Resistor,R,R66,3.3M,,1,~
78,Resistor,R,R82,330k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,~
79,Resistor,R,R94,330k,,1,~
80,Resistor,R,R39,33k,,1,~
81,Resistor,R,R45 R100,390,,2,~
82,Resistor,R,R114,3K,,1,~
83,Resistor,R,R48 R54,470k,,2,~
84,Resistor,R,R5 R6 R20 R21,47k,,4,~
85,Resistor,R,R28 R70,47r,,2,~
86,Resistor,R,R18,4k7,,1,~
87,Resistor,R,R52,5.6k,,1,~
88,Potentiometer,R_POT,R101,50k,,1,~
89,Resistor,R,R109,51k,,1,~
90,Resistor,R,R110,51k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,~
91,Resistor,R,R72,820,,1,~
92,Resistor,R,R99,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,~
93,Potentiometer,R_POT,RV2,500k,,1,~
94,Potentiometer,R_POT,RV3,R_POT,,1,~
95,"1x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",SW_DIP_x01,SW2 SW3 SW4,SW_DIP_x01,PinHeader_1x02_P2.54mm_Vertical,3,
96,Single Pole Single Throw (SPST) switch,SW_SPST,SW1,SW_SPST,,1,
97,"2MHz, Operational Transconductance Amplifier (OTA), gM spread 2:1, DIP-8/SOIC-8",CA3080,U4 U6 U13,CA3080,,3,http://www.intersil.com/content/dam/Intersil/documents/ca30/ca3080-a.pdf
98,"2MHz, Operational Transconductance Amplifier (OTA), gM spread 2:1, DIP-8/SOIC-8",CA3080,U17,CA3080,DIP-8_W7.62mm_Socket_LongPads,1,http://www.intersil.com/content/dam/Intersil/documents/ca30/ca3080-a.pdf
99,"Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220",LM7805_TO220,U1,LM7805_TO220,TO-220-3_Vertical,1,http://www.fairchildsemi.com/ds/LM/LM7805.pdf
100,Echo Processor IC,PT2399,U8 U11,PT2399,,2,http://sound.westhost.com/pt2399.pdf
101,"Single Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL071,U10,TL071,,1,http://www.ti.com/lit/ds/symlink/tl071.pdf
102,"Single Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL071,U16,TL071,DIP-8_W7.62mm_Socket_LongPads,1,http://www.ti.com/lit/ds/symlink/tl071.pdf
103,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U3 U12,TL072,,2,http://www.ti.com/lit/ds/symlink/tl071.pdf
104,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U14 U15 U18,TL072,DIP-8_W7.62mm_Socket_LongPads,3,http://www.ti.com/lit/ds/symlink/tl071.pdf
105,"Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14",TL074,U2 U5 U7 U9,TL074,,4,http://www.ti.com/lit/ds/symlink/tl071.pdf
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
